FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,WB_REGION,COUNTRY,CountrynameWEO,weo_code,ISO,STATE,LAT_DD,LON_DD,ON_OFF_LOC,year,FIELD_TYPE,SIZE_CLASS,SIZE_CLASS_CODE,EUR_MMBOE,oil_price,gas_price,firstdiscoyear,disco_cumu,disco_count,EUR_cumu,NPV_USD_n,defl_uscpi,NPV_USD_r,gdp_curr,gdp_const,NPV_GDP_n,NPV_GDP_r,DISCO_SOURCE1,DISCO_SOURCE2,DISCO_SOURCE3,DISCO_SOURCE4
1,West Qurna,,E,MIDDLE EAST,MNA,Iraq,Iraq,433,IRQ,,31.1,47.266667,Onshore,1973,Oil,Supergiant,2,11374.167,3.34,.0767980715665424,1927,15,34,107014.5,5359.7246,.26006427,20609.23,5134.367778144599,16595.4652463895,104.38918,124.18591,Horn (2014),,.,
2,Bassein,,G,ASIA AND OCEANIA,SAR,India,India,534,IND,,19.166667,72.09999999999999,Offshore,1977,Gas,Giant,1,1362.613,13.43041669527685,.2194379215793447,1953,7,9,12907.28,74.288506,.34997162,212.27008,121487.325381668,276451.795599075,.061149184,.076783761,Horn (2014),,.,
3,Karanj,,E,MIDDLE EAST,MNA,Iran,Iran,429,IRN,,30.99227,49.87899,Onshore,1963,Gas,Supergiant,2,6513.94,2.235,.0468648467254823,1908,17,70,117332.23,50.752964,.17805025,285.04855,4928.62801838989,84792.3669139433,1.0297585,.33617243,Horn (2014),,.,
4,Rag-E-Safid,,E,MIDDLE EAST,MNA,Iran,Iran,429,IRN,,30.389358,49.861275,Onshore,1964,Gas,Supergiant,2,14980.602,2.1975,.0454027332005061,1908,20,70,136445.78,88.171585,.18181936,484.94055,5379.84564731828,92588.12502711909,1.6389241,.52376109,Horn (2014),,.,
5,Pazanan,,E,MIDDLE EAST,MNA,Iran,Iran,429,IRN,,30.56692,50.01747,Onshore,1936,Gas,Supergiant,2,6657.933,,,1908,4,70,31502.957,0,,,,,,,Horn (2014),,.,
6,Mansuriyah,,E,MIDDLE EAST,MNA,Iraq,Iraq,433,IRQ,,34.083333,44.916667,Onshore,1978,Gas,Giant,1,600,13.88333333333335,.2726843717716693,1927,21,34,129232.83,48.36005,.37495103,128.97697,23762.2756518794,30296.6595497506,.20351607,.42571351,Horn (2014),,.,
7,Saradjeh,Serajeh,E,MIDDLE EAST,MNA,Iran,Iran,429,IRN,,35,51.5,Onshore,1958,Gas,Giant,1,833.333,2.569166666666665,.0204,1908,7,70,52665.141,4.6989336,.16897766,27.808016,,,,,Horn (2014),,.,
8,Paris,Faris,E,MIDDLE EAST,MNA,Iran,Iran,429,IRN,,31,49.933333,Onshore,1964,Gas,Giant,1,3825,2.1975,.0454027332005061,1908,21,70,140270.78,33.441242,.18181936,183.92563,5379.84564731828,92588.12502711909,.62160224,.19864926,Horn (2014),,.,
9,Serrablo,,C,WESTERN EUROPE,ECA,Spain,Spain,184,ESP,,42.583333,.4,Onshore,1979,Gas,Giant,1,583.333,28.11111107402377,.3773565288620104,1979,1,1,583.33301,65.416626,.40744939,160.55153,214019.077342588,639737.648767835,.030565793,.025096465,Horn (2014),,.,
10,Sui,,G,ASIA AND OCEANIA,SAR,Pakistan,Pakistan,564,PAK,,28.65,69.2,Onshore,1952,Gas,Giant,1,1872.687,2.14,.0136,1952,1,5,1872.687,5.8754473,.15033172,39.083218,,,,,Horn (2014),,.,
