"country","pop.avg"
"Aruba",85520.5
"Africa Eastern and Southern",510992006
"Afghanistan",25900969.5
"Africa Western and Central",345861535
"Angola",23514242.5
"Albania",3002816
"Andorra",65731.5
"Arab World",341853144.5
"UAE",5616484.5
"Argentina",39200298
"Armenia",3114327.5
"American Samoa",45280.5
"Antigua and Barbuda",78699.5
"Australia",21409978
"Austria",8330709
"Azerbaijan",8609153
"Burundi",9131636.5
"Belgium",10811755.5
"Benin",9166272
"Burkina Faso",15784498
"Bangladesh",138040023
"Bulgaria",7671034.5
"Bahrain",986291
"Bahamas, The",337738.5
"Bosnia-Herzegovina",3857378
"Belarus",9699035.5
"Belize",291983.5
"Bermuda",61186.5
"Bolivia",9586624.5
"Brazil",181658454.5
"Barbados",270197
"Brunei",351411.5
"Bhutan",663332
"Botswana",1965983.5
"Central African Republic",4151626.5
"Canada",33103341.5
"Central Europe and the Baltics",105454930.5
"Switzerland",7711336
"Channel Islands",156653.5
"Chile",16366176
"China",1265412500
"Ivory Coast",19811742.5
"Cameroon",19501879
"Congo",66918051.5
"Congo, Rep.",4144800.5
"Colombia",41898570.5
"Comoros",628179
"Cabo Verde",475649.5
"Costa Rica",4129915
"Caribbean small states",6762930.5
"Cuba",10869689
"Curacao",148466.5
"Cayman Islands",46797
"Cyprus",1014540
"Czechia",10516593
"Germany",81274634
"Djibouti",820976.5
"Dominica",71356
"Denmark",5517815.5
"Dominican Republic",9104427
"Algeria",34896366
"East Asia & Pacific (excluding high income)",1852381285.5
"Early-demographic dividend",2719745437.5
"East Asia & Pacific",2083159241
"Europe & Central Asia (excluding high income)",378629985.5
"Europe & Central Asia",879091305
"Ecuador",14105592.5
"Egypt",83377973
"Euro area",327083059
"Eritrea",2893081.5
"Spain",43303052
"Estonia",1458485.5
"Ethiopia",84787939
"European Union",433148140.5
"Fragile and conflict affected situations",744864378.5
"Finland",5260238.5
"Fiji",851235
"France",62868796.5
"Faroe Islands",50290
"Micronesia, Fed. Sts.",105480
"Gabon",1672750.5
"United Kingdom",62024053
"Georgia",4257901
"Ghana",24264158.5
"Gibraltar",30168.5
"Guinea",9997753.5
"Gambia",1852862
"Guinea-Bissau",1531902.5
"Equatorial Guinea",1061664
"Greece",10258208.5
"Grenada",112331
"Greenland",55980.5
"Guatemala",13081940.5
"Guam",153766.5
"Guyana",780811.5
"High income",1132257904.5
"Hong Kong SAR, China",6516150
"Honduras",7673268
"Heavily indebted poor countries (HIPC)",616574294.5
"Croatia",4311430
"Haiti",9184578.5
"Hungary",10062383.5
"IBRD only",4154493451.5
"IDA & IBRD total",5496073427.5
"IDA total",1341579976
"IDA blend",441976272.5
"Indonesia",227225256.5
"IDA only",899603703.5
"Isle of Man",76129.5
"India",1134592923
"Not classified",NA
"Ireland",4319089.5
"Iran",71097653
"Iraq",30969356
"Iceland",317427.5
"Israel",7037750
"Italy",57806103
"Jamaica",2600371
"Jordan",7298411.5
"Japan",124096994.5
"Kazakhstan",17935736
"Kenya",38207645
"Kyrgyz Republic",5641200
"Cambodia (Kampuchea)",12669385
"Kiribati",102334
"St. Kitts and Nevis",44324.5
"Korea, Rep.",47038577.5
"Kuwait",3239443
"Latin America & Caribbean (excluding high income)",492765321
"Laos",5861503.5
"Lebanon",4507620.5
"Liberia",3905140.5
"Libya",5471191.5
"St. Lucia",160157
"Latin America & Caribbean",546352129
"Least developed countries: UN classification",813325515.5
"Low income",492649613.5
"Liechtenstein",33842
"Sri Lanka",19585787.5
"Lower middle income",2496117911.5
"Low & middle income",5420718269
"Lesotho",2036458
"Late-demographic dividend",2074165680
"Lithuania",3257947
"Luxembourg",515101.5
"Latvia",2273169
"Macao SAR, China",516252
"St. Martin (French part)",29047
"Morocco",30803037.5
"Monaco",33273.5
"Moldova",2745605.5
"Madagascar (Malagasy)",20574224
"Maldives",370862
"Middle East & North Africa",370342795.5
"Mexico",103868937
"Marshall Islands",43278.5
"Middle income",4928068655.5
"Macedonia, FYR",2048552.5
