"country","rule_of_law"
"Afghanistan",0.169058823529412
"Africa",0.385900991176471
"Albania",0.503676470588235
"Algeria",0.272558823529412
"Angola",0.185647058823529
"Argentina",0.618294117647059
"Armenia",0.356735294117647
"Asia",0.424724977647059
"Australia",0.993852941176471
"Austria",0.954970588235294
"Azerbaijan",0.0718529411764706
"Bahrain",0.189147058823529
"Bangladesh",0.204147058823529
"Barbados",0.914176470588235
"Belarus",0.310941176470588
"Belgium",0.982705882352941
"Benin",0.595529411764706
"Bhutan",0.857617647058824
"Bolivia",0.427235294117647
"Bosnia-Herzegovina",0.413205882352941
"Botswana",0.896382352941177
"Brazil",0.738705882352941
"Bulgaria",0.733147058823529
"Burkina Faso",0.611411764705882
"Burundi",0.299352941176471
"Cambodia (Kampuchea)",0.0846176470588235
"Cameroon",0.0960882352941176
"Canada",0.980205882352941
"Cape Verde",0.854176470588235
"Central African Republic",0.192911764705882
"Chad",0.0567058823529412
"Chile",0.943294117647059
"China",0.316176470588235
"Colombia",0.698676470588235
"Comoros",0.283088235294118
"Congo",0.176588235294118
"Costa Rica",0.949794117647059
"Ivory Coast",0.479705882352941
"Croatia",0.643676470588235
"Cuba",0.150411764705882
"Cyprus",0.873558823529412
"Czechia",0.839647058823529
"Democratic Republic of Congo",0.0750294117647059
"Denmark",0.998764705882353
"Djibouti",0.283735294117647
"Dominican Republic",0.338852941176471
"East Germany",0.6315
"East Timor",0.573
"Ecuador",0.417
"Egypt",0.329852941176471
"El Salvador",0.351235294117647
"Equatorial Guinea",0.0640882352941176
"Eritrea",0.103941176470588
"Estonia",0.939470588235294
"Kingdom of eSwatini (Swaziland)",0.300352941176471
"Ethiopia",0.331558823529412
"Europe",0.796356640294118
"Fiji",0.631176470588235
"Finland",0.990882352941176
"France",0.965558823529412
"Gabon",0.331852941176471
"Gambia",0.414411764705882
"Georgia",0.509794117647059
"Germany",0.994617647058823
"Ghana",0.544676470588235
"Greece",0.865058823529412
"Guatemala",0.333764705882353
"Guinea",0.112352941176471
"Guinea-Bissau",0.219264705882353
"Guyana",0.542029411764706
"Haiti",0.194264705882353
"Honduras",0.300352941176471
"Hong Kong",0.914911764705882
"Hungary",0.804823529411765
"Iceland",0.980088235294118
"India",0.600911764705882
"Indonesia",0.391029411764706
"Iran",0.301735294117647
"Iraq",0.194058823529412
"Ireland",0.968970588235294
"Israel",0.928147058823529
"Italy",0.888676470588235
"Jamaica",0.861676470588235
"Japan",0.953382352941176
"Jordan",0.610382352941176
"Kazakhstan",0.195147058823529
"Kenya",0.398117647058824
"Kosovo",0.596166666666667
"Kuwait",0.627647058823529
"Kyrgyzstan",0.261735294117647
"Laos",0.2765
"Latvia",0.885852941176471
"Lebanon",0.266382352941176
"Lesotho",0.610117647058824
"Liberia",0.266205882352941
"Libya",0.124470588235294
"Lithuania",0.921235294117647
"Luxembourg",0.977470588235294
"Madagascar (Malagasy)",0.282794117647059
"Malawi",0.545823529411765
"Malaysia",0.448
"Maldives",0.2605
"Mali",0.405941176470588
"Malta",0.854794117647059
"Mauritania",0.184294117647059
"Mauritius",0.760147058823529
"Mexico",0.503411764705882
"Moldova",0.514058823529412
"Mongolia",0.660264705882353
"Montenegro",0.66584
"Morocco",0.442558823529412
"Mozambique",0.480794117647059
"Myanmar",0.172352941176471
"Namibia",0.834264705882353
"Nepal",0.505735294117647
"Netherlands",0.984647058823529
"New Zealand",0.992735294117647
"Nicaragua",0.232176470588235
"Niger",0.585441176470588
"Nigeria",0.228176470588235
"North America",0.569566670882353
"North Korea",0.0307058823529412
"Macedonia, FYR",0.518117647058824
"Norway",0.994529411764706
"Oceania",0.755946084117647
"Oman",0.612882352941176
"Pakistan",0.268558823529412
"Palestine/Gaza",0.3436875
"Palestine/West Bank",0.582852941176471
"Panama",0.586588235294118
"Papua New Guinea",0.521558823529412
"Paraguay",0.369323529411765
"Peru",0.522911764705882
"Philippines",0.529176470588235
"Poland",0.919294117647059
"Portugal",0.955441176470588
"Qatar",0.515264705882353
"Romania",0.542382352941176
"Russia",0.229382352941176
"Rwanda",0.494411764705882
"Sao Tome and Principe",0.744794117647059
"Saudi Arabia",0.293823529411765
"Senegal",0.712529411764706
"Serbia (Yugoslavia)",0.446352941176471
"Seychelles",0.742264705882353
"Sierra Leone",0.330382352941176
"Singapore",0.975588235294118
"Slovakia",0.800764705882353
"Slovenia",0.908235294117647
"Solomon Islands",0.645058823529412
"Somalia",0.0640294117647059
"Somaliland",0.31428125
"South Africa",0.713676470588235
"South America",0.601924019117647
"South Korea",0.906705882352941
"South Sudan",0.0821764705882353
"Spain",0.982147058823529
"Sri Lanka",0.578470588235294
"Sudan",0.134911764705882
"Suriname",0.764970588235294
"Sweden",0.995352941176471
"Switzerland",0.994147058823529
"Syria",0.0747941176470588
"Taiwan",0.837441176470588
"Tajikistan",0.0754117647058824
"Tanzania",0.691176470588235
"Thailand",0.422411764705882
"Togo",0.194647058823529
"Trinidad and Tobago",0.8715
"Tunisia",0.383235294117647
"Turkey",0.578911764705882
"Turkmenistan",0.0540294117647059
"Uganda",0.408382352941176
"Ukraine",0.256617647058824
"UAE",0.662470588235294
"United Kingdom",0.977705882352941
"United States",0.975088235294118
"Uruguay",0.955911764705882
"Uzbekistan",0.0727941176470588
"Vanuatu",0.751294117647059
"Venezuela",0.224735294117647
"Vietnam",0.301558823529412
"World",0.532418171176471
"Yemen",0.136735294117647
"Yemen People's Republic",0.772
"Zambia",0.672411764705882
"Zanzibar",0.288676470588235
"Zimbabwe (Rhodesia)",0.376058823529412
