"country","stability","quartile_stability"
"Afghanistan",1.25754292930166,1
"Albania",43.4209434191386,2
"Algeria",12.4914464354515,1
"American Samoa",82.8273010253906,4
"Andorra",95.9572890599569,4
"Angola",24.6586391528447,1
"Antigua and Barbuda",76.8388350804647,4
"Argentina",44.1985061963399,2
"Armenia",36.3889284133911,2
"Aruba",93.6727941412675,4
"Australia",81.0876105626424,4
"Austria",86.5662911732992,4
"Azerbaijan",22.9506607055664,1
"Bahamas, The",79.802573521932,4
"Bahrain",31.115380247434,2
"Bangladesh",13.6643351515134,1
"Barbados",86.2346677780151,4
"Belarus",48.5782628854116,3
"Belgium",72.3708742459615,3
"Belize",53.7824778556824,3
"Benin",54.5744997660319,3
"Bermuda",78.1034984588623,4
"Bhutan",78.5031042098999,4
"Bolivia",31.1022644837697,2
"Bosnia-Herzegovina",30.8558599154154,2
"Botswana",83.8939825693766,4
"Brazil",37.8251384894053,2
"Brunei",90.5031302769979,4
"Bulgaria",55.655158996582,3
"Burkina Faso",30.7413265705109,2
"Burundi",6.97452119241158,1
"Cabo Verde",76.0134228070577,3
"Cambodia (Kampuchea)",36.086523493131,2
"Cameroon",22.1848755677541,1
"Canada",84.7599302927653,4
"Cayman Islands",86.9762036005656,4
"Central African Republic",6.27599847937623,1
"Chad",10.303405046463,1
"Chile",61.6686526934306,3
"China",30.8541263739268,2
"Colombia",10.1524790624778,1
"Comoros",37.6961844364802,2
"Congo",3.30054363360008,1
"Congo, Rep.",26.0763695240021,2
"Costa Rica",69.0083249409994,3
"Croatia",64.9989461898804,3
"Cuba",59.8900047938029,3
"Cyprus",62.212050596873,3
"Czechia",80.8988146781921,4
"Denmark",84.6118001937866,4
"Djibouti",35.3453156153361,2
"Dominica",81.1388559341431,4
"Dominican Republic",46.5216345787048,2
"Ecuador",31.1624761422475,2
"Egypt",19.5518885850906,1
"El Salvador",44.7698753674825,2
"Equatorial Guinea",44.4364565213521,2
"Eritrea",21.2502344051997,1
"Estonia",69.6906541188558,3
"Ethiopia",9.57758643229803,1
"Fiji",58.97385485967,3
"Finland",93.15895875295,4
"France",60.99103418986,3
"Gabon",52.514980951945,3
"Gambia",50.8021261692047,3
"Georgia",23.7821075320244,1
"Germany",75.0466601053874,3
"Ghana",45.3451450665792,2
"Greece",53.2650129000346,3
"Greenland",99.8313767569406,4
"Grenada",72.4802187283834,3
"Guam",69.0633739672209,3
"Guatemala",24.2779839833578,1
"Guinea",14.724890306592,1
"Guinea-Bissau",24.886469523112,1
"Guyana",35.2782921791077,2
"Haiti",16.7147701481978,1
"Honduras",30.9649429321289,2
"Hong Kong SAR, China",76.6110973358154,4
"Hungary",74.3925898869832,3
"Iceland",95.7571789423625,4
"India",15.3353273868561,1
"Indonesia",19.028280287981,1
"Iran",15.769915719827,1
"Iraq",2.8885461812218,1
"Ireland",86.4498354593913,4
"Israel",13.4070349534353,1
"Italy",63.9823956489563,3
"Ivory Coast",14.0873476043344,1
"Jamaica",46.4119151433309,2
"Japan",84.4641122817993,4
"Jordan",34.1153116226196,2
"Kazakhstan",48.5876064300537,3
"Kenya",13.5121066967646,1
"Kingdom of eSwatini (Swaziland)",38.4069655736287,2
"Kiribati",89.9015678405762,4
"Korea, Dem. People's Rep.",37.6987096468608,2
"Korea, Rep.",60.0019715627035,3
"Kosovo",35.2053641637166,2
"Kuwait",54.8433062235514,3
"Kyrgyz Republic",24.3641593058904,1
"Laos",48.5211418867111,3
"Latvia",63.5650763511658,3
"Lebanon",12.4215741058191,1
"Lesotho",45.0179788271586,2
"Liberia",20.7911479920149,1
"Libya",27.4304824471474,2
"Liechtenstein",97.2624266942342,4
"Lithuania",71.9500710169474,3
"Luxembourg",96.387703259786,4
"Macao SAR, China",78.7825978597005,4
"Macedonia, FYR",33.1489336093267,2
"Madagascar (Malagasy)",36.4644428094228,2
"Malawi",42.8115514119466,2
"Malaysia",53.0918825467428,3
"Maldives",60.3239199320475,3
"Mali",30.4303086996078,2
"Malta",90.8462657928467,4
"Marshall Islands",85.8823776245117,4
"Mauritania",32.3533772627513,2
"Mauritius",77.7537628809611,4
"Mexico",25.9330941836039,2
"Micronesia, Fed. Sts.",88.1633098602295,4
"Moldova",37.6482597192128,2
"Monaco",89.2081420898438,4
"Mongolia",70.1272441546122,3
"Montenegro",55.4688859827378,3
"Morocco",33.8403179645538,2
"Mozambique",39.7963153123856,2
"Myanmar",13.0106506943703,1
"Namibia",68.8671749432882,3
"Nauru",83.7838729858398,4
"Nepal",17.1622014890114,1
"Netherlands",83.229590733846,4
"New Zealand",95.6712201436361,4
"Nicaragua",34.596026301384,2
"Niger",22.3250799973806,1
"Nigeria",6.48013547062874,1
"Norway",92.9797134399414,4
"Oman",71.783450126648,3
"Pakistan",4.64014907429616,1
"Palau",87.6515720367432,4
"Panama",50.6564995447795,3
"Papua New Guinea",25.9188390572866,1
"Paraguay",31.7770759661992,2
"Peru",24.8479798634847,1
"Philippines",14.3617568016052,1
"Poland",69.4530434608459,3
"Portugal",81.6494159698486,4
"Puerto Rico",60.313755830129,3
"Qatar",80.7963377634684,4
"Romania",54.4376012484233,3
"Russia",18.062383433183,1
"Rwanda",32.106680393219,2
"Samoa",87.8989260991414,4
